Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,8,08:15 - 08:29,Cashier,17.89,3,5.96,3,5.96,3,5.96,1.0,1.0
,,8,08:30 - 08:44,Cashier,31.03,5,6.21,5,6.21,5,6.21,1.0,1.0
,,8,08:45 - 08:59,Cashier,23.79,4,5.95,4,5.95,4,5.95,1.0,1.0
,,8,09:00 - 09:14,Cashier,63.44,9,7.05,9,7.05,9,7.05,1.0,1.0
,,8,09:15 - 09:29,Cashier,55.68,11,5.06,11,5.06,11,5.06,1.0,1.0
,,8,09:30 - 09:44,Cashier,38.69,9,4.3,9,4.3,9,4.3,1.0,1.0
,,8,09:45 - 09:59,Cashier,19.14,5,3.83,5,3.83,5,3.83,1.0,1.0
,,8,10:00 - 10:14,Cashier,26.09,5,5.22,5,5.22,5,5.22,1.0,1.0
,,8,10:15 - 10:29,Cashier,85.75,15,5.72,15,5.72,15,5.72,1.0,1.0
,,8,10:30 - 10:44,Cashier,41.93,9,4.66,9,4.66,9,4.66,1.0,1.0
,,8,10:45 - 10:59,Cashier,56.25,7,8.04,7,8.04,7,8.04,1.0,1.0
,,8,11:00 - 11:14,Cashier,45.45,8,5.68,8,5.68,8,5.68,1.0,1.0
,,8,11:15 - 11:29,Cashier,70.02,13,5.39,13,5.39,13,5.39,1.0,1.0
,,8,11:30 - 11:44,Cashier,124.28,19,6.54,19,6.54,19,6.54,1.0,1.0
,,8,11:45 - 11:59,Cashier,95.71,17,5.63,17,5.63,17,5.63,1.0,1.0
,,8,12:00 - 12:14,Cashier,117.71,16,7.36,16,7.36,16,7.36,1.0,1.0
,,8,12:15 - 12:29,Cashier,94.38,11,8.58,11,8.58,11,8.58,1.0,1.0
,,8,12:30 - 12:44,Cashier,123.36,19,6.49,19,6.49,19,6.49,1.0,1.0
,,8,12:45 - 12:59,Cashier,151.71,20,7.59,20,7.59,20,7.59,1.0,1.0
,,8,13:00 - 13:14,Cashier,91.56,13,7.04,13,7.04,13,7.04,1.0,1.0
,,8,13:15 - 13:29,Cashier,126.77,18,7.04,18,7.04,18,7.04,1.0,1.0
,,8,13:30 - 13:44,Cashier,42.9,7,6.13,7,6.13,7,6.13,1.0,1.0
,,8,13:45 - 13:59,Cashier,40.67,5,8.13,5,8.13,5,8.13,1.0,1.0
,,8,14:00 - 14:14,Cashier,55.64,6,9.27,6,9.27,6,9.27,1.0,1.0
,,8,14:15 - 14:29,Cashier,83.05,13,6.39,13,6.39,13,6.39,1.0,1.0
,,8,14:30 - 14:44,Cashier,72.92,9,8.1,9,8.1,9,8.1,1.0,1.0
,,8,14:45 - 14:59,Cashier,78.95,11,7.18,11,7.18,11,7.18,1.0,1.0
,,8,15:00 - 15:14,Cashier,34.3,6,5.72,6,5.72,6,5.72,1.0,1.0
,,8,15:15 - 15:29,Cashier,38.3,5,7.66,5,7.66,5,7.66,1.0,1.0
,,8,15:30 - 15:44,Cashier,51.76,10,5.18,10,5.18,10,5.18,1.0,1.0
,,8,15:45 - 15:59,Cashier,48.91,9,5.43,9,5.43,9,5.43,1.0,1.0
,,8,16:00 - 16:14,Cashier,49.43,10,4.94,10,4.94,10,4.94,1.0,1.0
,,8,16:15 - 16:29,Cashier,64.56,9,7.17,9,7.17,9,7.17,1.0,1.0
,,8,16:30 - 16:44,Cashier,25.84,6,4.31,6,4.31,6,4.31,1.0,1.0
,,8,16:45 - 16:59,Cashier,39.5,6,6.58,6,6.58,6,6.58,1.0,1.0
,,8,17:00 - 17:14,Cashier,7.5,1,7.5,1,7.5,1,7.5,1.0,1.0
,,8,---,---,2316.07,363,6.38,363,6.38,363,6.38,1.0,1.0
,,9,07:30 - 07:44,Cashier,19.29,3,6.43,3,6.43,3,6.43,1.0,1.0
,,9,07:45 - 07:59,Cashier,2.45,1,2.45,1,2.45,1,2.45,1.0,1.0
,,9,08:00 - 08:14,Cashier,59.54,10,5.95,10,5.95,10,5.95,1.0,1.0
,,9,08:15 - 08:29,Cashier,35.98,6,6.0,6,6.0,6,6.0,1.0,1.0
,,9,08:30 - 08:44,Cashier,20.65,4,5.16,4,5.16,4,5.16,1.0,1.0
,,9,08:45 - 08:59,Cashier,77.25,12,6.44,12,6.44,12,6.44,1.0,1.0
,,9,09:00 - 09:14,Cashier,46.72,6,7.79,6,7.79,6,7.79,1.0,1.0
