Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,10:15 - 10:29,Cashier,61.86,10,6.19,10,6.19,10,6.19,1,1
,,,10:30 - 10:44,Cashier,51.13,8,6.39,8,6.39,8,6.39,1,1
,,,10:45 - 10:59,Cashier,42.04,6,7.01,6,7.01,6,7.01,1,1
,,,11:00 - 11:14,Cashier,37.69,5,7.54,5,7.54,5,7.54,1,1
,,,11:15 - 11:29,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,11:30 - 11:44,Cashier,55.17,8,6.9,8,6.9,8,6.9,1,1
,,,11:45 - 11:59,Cashier,110.29,10,11.03,10,11.03,10,11.03,1,1
,,,12:00 - 12:14,Cashier,47.62,8,5.95,8,5.95,8,5.95,1,1
,,,12:15 - 12:29,Cashier,50.3,6,8.38,6,8.38,6,8.38,1,1
,,,12:30 - 12:44,Cashier,100.76,11,9.16,11,9.16,11,9.16,1,1
