Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,,13:00 - 13:14,Cashier,28.29,4,7.07,4,7.07,4,7.07,1,1
,,,,13:15 - 13:29,Cashier,13.25,4,3.31,4,3.31,4,3.31,1,1
,,,,13:30 - 13:44,Cashier,14.08,2,7.04,2,7.04,2,7.04,1,1
,,,,13:45 - 13:59,Cashier,28.94,6,4.82,6,4.82,6,4.82,1,1
,,,,14:00 - 14:14,Cashier,14.4,3,4.8,3,4.8,3,4.8,1,1
,,,,14:15 - 14:29,Cashier,19.34,4,4.83,4,4.83,4,4.83,1,1
,,,,14:30 - 14:44,Cashier,14.7,3,4.9,3,4.9,3,4.9,1,1
,,,,14:45 - 14:59,Cashier,26.53,4,6.63,4,6.63,4,6.63,1,1
,,,,15:00 - 15:14,Cashier,11.55,3,3.85,3,3.85,3,3.85,1,1
,,,,15:15 - 15:29,Cashier,12.65,3,4.22,3,4.22,3,4.22,1,1
,,,14,---,---,628.1,104,6.04,104,6.04,104,6.04,1,1
,,,15,08:00 - 08:14,Cashier,33.89,4,8.47,4,8.47,4,8.47,1,1
,,,,08:15 - 08:29,Cashier,10.25,3,3.42,3,3.42,3,3.42,1,1
,,,,08:30 - 08:44,Cashier,10.6,2,5.3,2,5.3,2,5.3,1,1
,,,,08:45 - 08:59,Cashier,16.59,4,4.15,4,4.15,4,4.15,1,1
,,,,09:00 - 09:14,Cashier,20.8,5,4.16,5,4.16,5,4.16,1,1
,,,,09:15 - 09:29,Cashier,6,1,6,1,6,1,6,1,1
,,,,09:30 - 09:44,Cashier,13,3,4.33,3,4.33,3,4.33,1,1
,,,,09:45 - 09:59,Cashier,11.05,2,5.53,2,5.53,2,5.53,1,1
,,,,10:00 - 10:14,Cashier,16.1,5,3.22,5,3.22,5,3.22,1,1
,,,,10:15 - 10:29,Cashier,42.43,4,10.61,4,10.61,4,10.61,1,1
,,,,10:30 - 10:44,Cashier,41.4,5,8.28,5,8.28,5,8.28,1,1
,,,,10:45 - 10:59,Cashier,33.19,4,8.3,4,8.3,4,8.3,1,1
,,,,11:00 - 11:14,Cashier,23.99,2,11.99,2,11.99,2,11.99,1,1
,,,,11:15 - 11:29,Cashier,3.35,1,3.35,1,3.35,1,3.35,1,1
,,,,11:30 - 11:44,Cashier,5,1,5,1,5,1,5,1,1
,,,,11:45 - 11:59,Cashier,34.07,5,6.81,5,6.81,5,6.81,1,1
,,,,12:00 - 12:14,Cashier,14.75,2,7.38,2,7.38,2,7.38,1,1
,,,,12:15 - 12:29,Cashier,25.84,4,6.46,4,6.46,4,6.46,1,1
,,,,12:30 - 12:44,Cashier,59.64,7,8.52,7,8.52,7,8.52,1,1
,,,,12:45 - 12:59,Cashier,40.57,7,5.8,7,5.8,7,5.8,1,1
,,,,13:00 - 13:14,Cashier,14.25,3,4.75,3,4.75,3,4.75,1,1
,,,,13:15 - 13:29,Cashier,40.07,7,5.72,7,5.72,7,5.72,1,1
